amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids
405-3810599-0554711	405-3810599-0554711	2025-01-26T23:16:19+00:00	2025-01-28T23:00:17+00:00	Cancelled	Amazon	Amazon.ae		Standard	"PNY CS900 500GB 3D NAND 2.5"" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-500-RB)"	SSD7CS900-500-RB	B07XZLN9KM	Cancelled	0										Dubai			AE	
404-4332458-1629950	404-4332458-1629950	2025-01-28T19:55:35+00:00	2025-01-28T22:44:50+00:00	Shipped	Amazon	Amazon.ae		Expedited	WD 5TB My Passport Portable External Hard Drive, Black - WDBPKJ0050BBK-WESN	WDBPKJ0050BBK-WESN	B07VP5X239	Shipped	1	AED	444.0		1.0					1.0	Dubai			AE	
404-4681748-7501133	404-4681748-7501133	2025-01-28T18:36:29+00:00	2025-01-28T22:35:45+00:00	Shipped	Amazon	Amazon.ae		Expedited	Crucial BX500 SSD 500GB 3D NAND SATA Internal Solid State Drive 2.5 inch black/blue- CT500BX500SSD1	CT500BX500SSD1	B0B9BL9T4H	Shipped	1	AED	100.5		3.0					3.0	Abu Dhabi			AE	
407-0708446-2505916	407-0708446-2505916	2025-01-28T18:37:09+00:00	2025-01-28T22:26:08+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 1TB Extreme Portable SSD Up to 1050MB/s USB C, USB 3.2 Gen 2 External Solid State Drive SDSSDE61 1T00 G25, Blue, SanDisk Extreme Portable SSD,	SDSSDE61-1T00-G25	B08GTYFC37	Shipped	1	AED	344.0		0.28					0.28	Abu Dhabi			AE	
171-4409462-9698725	171-4409462-9698725	2025-01-28T18:41:13+00:00	2025-01-28T22:20:33+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 128GB Extreme Pro microSD UHS I Card for 4K Video on Smartphones, Action Cams & Drones 200MB/s Read, 90MB/s Write, SDSQXCD 128G GN6MA, Red/Bla	SDSQXCD-128G-GN6MA	B09X7DNF6G	Shipped	1	AED	57.39		1.5					1.5	Dubai			AE	
406-6678185-3073119	406-6678185-3073119	2025-01-28T18:53:02+00:00	2025-01-28T22:19:03+00:00	Shipped	Amazon	Amazon.ae		Expedited	Samsung MU-PC2T0K/WW Portable SSD T7 TOUCH USB 3.2 With Fingerprint And Password Security - 2TB, Black	MU-PC2T0K/WW	B082YGVGQL	Shipped	1	AED	719.0		3.0					3.0	Dubai			AE	
404-0229923-1135525	404-0229923-1135525	2025-01-28T19:45:51+00:00	2025-01-28T22:16:50+00:00	Shipped	Amazon	Amazon.ae		NextDay	Kingston NV2 NVMe PCIe 4.0 Internal SSD 2TB M.2 2280 -SNV2S/2000G	SNV2S/2000G	B0BDTC589G	Shipped	1	AED	354.0								Sharjah			AE	
404-5521661-5103508	404-5521661-5103508	2025-01-28T19:21:45+00:00	2025-01-28T22:10:28+00:00	Shipped	Amazon	Amazon.ae		Expedited	Seagate Expansion Portable, 1TB, External Hard Drive, 2.5 Inch, USB 3.0, for Mac and PC (STKM1000400)	STKM1000400	B08ZJDWTJ1	Shipped	1	AED	185.0		3.0					3.0	Dubai			AE	
404-3290576-8237938	404-3290576-8237938	2025-01-28T19:51:23+00:00	2025-01-28T22:08:22+00:00	Shipped	Amazon	Amazon.ae		NextDay	Kingston NV2 NVMe PCIe 4.0 Internal SSD 2TB M.2 2280 -SNV2S/2000G	SNV2S/2000G	B0BDTC589G	Shipped	1	AED	354.0								Dubai			AE	
171-1610127-5901915	171-1610127-5901915	2025-01-28T19:07:06+00:00	2025-01-28T22:01:53+00:00	Shipped	Amazon	Amazon.ae		Expedited	Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.2 Gen1, Black	HDTB520EK3AA	B0BMGTK46D	Shipped	1	AED	259.0		0.5					0.5	Dubai			AE	
171-5035208-7461962	171-5035208-7461962	2025-01-28T17:58:18+00:00	2025-01-28T22:00:48+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 256GB Extreme PRO SDXC card + RescuePRO Deluxe, up to 200MB/s, UHS I, Class 10, U3, V30 SDSDXXD 256G GN4IN, Black	SDSDXXD-256G-GN4IN	B09X7CFXSX	Shipped	1	AED	117.45		6.0						Dubai			AE	
407-7901830-1199512	407-7901830-1199512	2025-01-28T17:08:03+00:00	2025-01-28T21:56:46+00:00	Shipped	Amazon	Amazon.ae		NextDay	Samsung 870 QVO SSD 1TB SATA 2.5 Inch Internal Solid State Drive MZ-77Q1T0BW	MZ-77Q1T0BW-1	B089QXQ1TV	Shipped	1	AED	333.0		14.0						Sharjah			AE	
407-4773121-5627523	407-4773121-5627523	2025-01-28T19:03:52+00:00	2025-01-28T21:52:45+00:00	Shipped	Amazon	Amazon.ae		NextDay	SanDisk 256GB Extreme PRO SDXC card + RescuePRO Deluxe, up to 200MB/s, UHS I, Class 10, U3, V30 SDSDXXD 256G GN4IN, Black	SDSDXXD-256G-GN4IN	B09X7CFXSX	Shipped	1	AED	117.45		7.0						Abu Dhabi			AE	
403-3953734-5411552	403-3953734-5411552	2025-01-28T19:37:38+00:00	2025-01-28T21:51:27+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 256GB Extreme PRO SDXC card + RescuePRO Deluxe, up to 200MB/s, UHS I, Class 10, U3, V30 SDSDXXD 256G GN4IN, Black	SDSDXXD-256G-GN4IN	B09X7CFXSX	Shipped	1	AED	117.45		1.0					1.0	Dubai			AE	
406-5040683-3922750	406-5040683-3922750	2025-01-28T19:22:18+00:00	2025-01-28T21:47:22+00:00	Shipped	Amazon	Amazon.ae		Expedited	Seagate FireCuda 2TB portable external hard drive, compatible with PS4, PS5, Xbox One/Series, PC, Star Wars Edition Luke Skywalker, USB 3.2 (STKL20004	STKL2000412	B0BG1Z8LQ7	Shipped	1	AED	309.0		1.5					1.5	Dubai			AE	
405-9507378-2079514	405-9507378-2079514	2025-01-28T18:17:43+00:00	2025-01-28T21:42:47+00:00	Shipped	Amazon	Amazon.ae		NextDay	Lexar SODIMM DDR4 RAM 8GB 3200 MHz, 260-Pin SODIMM Laptop Memory, High Performance SO-DIMM, PC Laptop Computer Memory (LD4AS008G-B3200GSST)	LD4AS008G-B3200GSST	B09CMX639M	Shipped	2	AED	107.98								Umm Al Quwain			AE	
405-3361621-3989908	405-3361621-3989908	2025-01-28T17:40:04+00:00	2025-01-28T21:42:46+00:00	Shipped	Amazon	Amazon.ae		Expedited	Crucial BX500 SSD 500GB 3D NAND SATA Internal Solid State Drive 2.5 inch black/blue- CT500BX500SSD1	CT500BX500SSD1	B0B9BL9T4H	Shipped	1	AED	100.5		3.0					3.0	Dubai			AE	
405-6868125-3489965	405-6868125-3489965	2025-01-28T15:33:52+00:00	2025-01-28T21:34:28+00:00	Shipped	Amazon	Amazon.ae		Expedited	Samsung 990 PRO Series - 1TB PCIe Gen4. X4 NVMe 2.0c - M.2 Internal SSD (MZ-V9P1T0B/AM)	MZ-V9P1T0BW-1	B0BHJF2VRN	Shipped	1	AED	410.0		1.0					1.0	Dubai			AE	
402-7160217-6948360	402-7160217-6948360	2025-01-28T13:54:10+00:00	2025-01-28T21:27:55+00:00	Shipped	Amazon	Amazon.ae		Expedited	Crucial ct1000bx500ssd1 1tb bx500 2.5-inch serial ata 3d nand internal solid state drive, black	CT1000BX500SSD1	B07YD579WM	Shipped	1	AED	195.0		3.0					3.0	Dubai			AE	
