amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids
404-0232411-4233965	404-0232411-4233965	2026-01-24T14:40:50+00:00	2026-01-24T22:46:05+00:00	Shipped	Amazon	Amazon.ae		NextDay	SanDisk 128GB Ultra Dual Drive Luxe USB Type-C - SDDDC4-128G-G46, Silver	SDDDC4-128G-G46	B0842P5GBQ	Shipped	1	AED	72.0								Al Ain			AE	
407-9758087-4405904	407-9758087-4405904	2026-01-24T19:46:28+00:00	2026-01-24T22:44:13+00:00	Shipped	Amazon	Amazon.ae		Expedited	Kingston DataTraveler SE9 Gen 3-64GB - 220MB/s Reading - Metal - USB Stick 3.2 Gen 1 - Gold	DTSE9G3/64GB	B0CT933C97	Shipped	1	AED	49.0		2.5					2.5	Dubai			AE	
406-8146697-0362731	406-8146697-0362731	2026-01-24T19:47:35+00:00	2026-01-24T22:31:20+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 1TB Portable SSD - Up to 800MB/s, USB-C, USB 3.2 Gen 2 - SDSSDE30-1T00-G26	SDSSDE30-1T00-G26	B0C5JQ68FY	Shipped	1	AED	399.0		1.25					1.25	Dubai			AE	
403-6236887-4849150	403-6236887-4849150	2026-01-24T11:24:52+00:00	2026-01-24T22:29:07+00:00	Shipped	Amazon	Amazon.ae		NextDay	SanDisk 128GB Ultra Upto 100MB/s UHS-I Class 10 microSDXC Card-SDSQUNS-128G-GN6MN	SDSQUNR-128G-GN6MN-1	B07HHD7C7T	Shipped	1	AED	58.69								Dubai			AE	
402-4842167-3748334	402-4842167-3748334	2026-01-24T19:48:51+00:00	2026-01-24T22:26:32+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 512GB Extreme Pro microSD UHS I Card for 4K Video on Smartphones, Action Cams & Drones 200MB/s Read, 140MB/s Write, SDSQXCD 512G GN6MA, Red/Bl	SDSQXCD-512G-GN6MA	B09X7DQJQL	Shipped	1	AED	255.0		0.46					0.46	Abu Dhabi			AE	
408-2998940-3887528	408-2998940-3887528	2026-01-24T19:33:03+00:00	2026-01-24T22:24:08+00:00	Shipped	Amazon	Amazon.ae		NextDay	Sandisk Flash Drive 64 SDDDC4-064G-G46	SDDDC4-064G-G46	B0842P231G	Shipped	1	AED	41.58								Abu Dhabi			AE	
403-6103240-2205152	403-6103240-2205152	2026-01-24T05:52:33+00:00	2026-01-24T22:23:08+00:00	Shipped	Amazon	Amazon.ae		NextDay	SanDisk Ultra UHS-I Class 10 microSDXC Card, 64 GB, SDSQUNS-064G-GN3MN	SDSQUNS-064G-GN3MN-1	B074B4BFHJ	Shipped	1	AED	32.0								Ras Al Khaimah			AE	
171-4344280-0695563	171-4344280-0695563	2026-01-24T19:06:49+00:00	2026-01-24T22:21:07+00:00	Shipped	Amazon	Amazon.ae		NextDay	Sandisk Flash Drive 64 SDDDC4-064G-G46	SDDDC4-064G-G46	B0842P231G	Shipped	1	AED	41.58								Abu Dhabi			AE	
171-7991909-5639551	171-7991909-5639551	2026-01-24T19:53:12+00:00	2026-01-24T22:20:10+00:00	Shipped	Amazon	Amazon.ae		NextDay	PNY 512GB PRO Elite Class 10 U3 V30 microSDXC Flash Memory Card	P-SDUX512U3100PRO-GE	B07KD4XJLX	Shipped	1	AED	179.0								Dubai			AE	
402-1070135-9349122	402-1070135-9349122	2026-01-24T19:49:29+00:00	2026-01-24T22:20:07+00:00	Shipped	Amazon	Amazon.ae		NextDay	SanDisk 512GB Extreme Pro microSD UHS I Card for 4K Video on Smartphones, Action Cams & Drones 200MB/s Read, 140MB/s Write, SDSQXCD 512G GN6MA, Red/Bl	SDSQXCD-512G-GN6MA	B09X7DQJQL	Shipped	1	AED	255.0								Sharjah			AE	
